method,grid-size,test_eiko_epoch,test_full_fmm_comp_times,test_full_neural_inf_comp_times,test_full_neural_tot_comp_times,test_full_re,test_full_rmae,test_loss,test_mse,test_mse_epoch,test_neural_fit_comp_times
AD,"2x2x2","0,08187","135,26486","48,03088","222,38589","0,01859","0,01501","0,07842","0,02386","0,02295","174,35501"
AD,"3x3x3","0,08187","455,49779","163,3625","338,99921","0,01943","0,0155","0,07842","0,02386","0,02295","175,63671"
AD,"4x4x4","0,08187","1051,81955","389,07546","563,69716","0,01971","0,01566","0,07842","0,02386","0,02295","174,6217"
AD,"5x5x5","0,08187","2044,04208","768,59294","942,66092","0,01976","0,01569","0,07842","0,02386","0,02295","174,06798"
AD,"6x6x6","0,08187","3559,143","1361,49216","1536,64723","0,01991","0,01575","0,07842","0,02386","0,02295","175,15507"
META,"2x2x2","0,00301","130,51595","48,30506","51,36669","0,03281","0,02664","0,00379","0,01433","0,0119","3,06163"
META,"3x3x3","0,00301","463,83857","163,18263","166,10327","0,03464","0,02787","0,00379","0,01433","0,0119","2,92064"
META,"4x4x4","0,00301","1098,16238","390,47388","393,51002","0,03512","0,02826","0,00379","0,01433","0,0119","3,03614"
META,"5x5x5","0,00301","2087,23495","771,12533","774,19786","0,03544","0,02852","0,00379","0,01433","0,0119","3,07253"
META,"6x6x6","0,00301","3546,65668","1361,29164","1364,41125","0,03556","0,02855","0,00379","0,01433","0,0119","3,11961"